op,dtype,mode,shape,latency_base_ms,latency_ms,speedup
BlockSparseContraction,fp32,operator,"[[8,4]]",0.190628,0.266228,0.7160
BlockSparseContraction,fp32,operator,"[[16,8]]",0.222633,0.288959,0.7705
BlockSparseContraction,fp32,operator,"[[32,16]]",0.277972,0.298595,0.9309
BlockSparseContraction,fp32,operator,"[[64,32]]",0.378151,0.312543,1.2099
BlockSparseContraction,fp32,operator,"[[128,64]]",0.582209,0.338688,1.7190
BlockSparseContraction,fp32,operator,"[[256,128]]",0.993915,0.392895,2.5297
BlockSparseContraction,fp32,operator,"[[32,128]]",0.991795,0.397801,2.4932
BlockSparseContraction,fp32,operator,"[[64,256]]",1.807704,0.496340,3.6421
CUTENSOR_OP_ABS,fp32,kernel,[[1024]],0.006488,0.003662,1.7721
CUTENSOR_OP_ABS,fp32,kernel,[[2048]],0.006423,0.003808,1.6869
CUTENSOR_OP_ABS,fp32,kernel,[[4096]],0.006692,0.004365,1.5330
CUTENSOR_OP_ABS,fp32,kernel,[[8192]],0.007231,0.003981,1.8164
CUTENSOR_OP_ABS,fp32,kernel,[[16384]],0.008269,0.004423,1.8696
CUTENSOR_OP_ABS,fp32,kernel,[[32768]],0.010269,0.005404,1.9004
CUTENSOR_OP_ABS,fp32,kernel,[[65536]],0.010692,0.005673,1.8847
CUTENSOR_OP_ABS,fp32,kernel,[[131072]],0.011712,0.006615,1.7703
CUTENSOR_OP_ABS,fp32,kernel,[[262144]],0.014404,0.008923,1.6142
CUTENSOR_OP_ABS,fp32,kernel,[[524288]],0.021615,0.014308,1.5108
CUTENSOR_OP_ABS,fp32,kernel,[[1048576]],0.036058,0.025269,1.4269
CUTENSOR_OP_ABS,fp32,kernel,[[2097152]],0.060000,0.046385,1.2935
CUTENSOR_OP_ABS,fp32,kernel,[[4194304]],0.136288,0.073308,1.8591
CUTENSOR_OP_ABS,fp32,kernel,[[8388608]],0.250808,0.131481,1.9076
CUTENSOR_OP_ABS,fp32,kernel,"[[128,128]]",0.008288,0.004423,1.8739
CUTENSOR_OP_ABS,fp32,kernel,"[[32,64,16]]",0.010308,0.005404,1.9075
CUTENSOR_OP_ABS,fp32,kernel,"[[64,256]]",0.008288,0.004462,1.8578
CUTENSOR_OP_ABS,fp32,kernel,"[[16,64,64]]",0.010596,0.005692,1.8615
CUTENSOR_OP_ABS,fp32,kernel,"[[256,512]]",0.011538,0.006596,1.7493
CUTENSOR_OP_ABS,fp32,kernel,"[[128,1024]]",0.011731,0.006673,1.7579
CUTENSOR_OP_ABS,fp32,kernel,"[[64,64,64]]",0.014538,0.008865,1.6399
CUTENSOR_OP_ABS,fp32,kernel,"[[128,128,64]]",0.036000,0.025192,1.4290
CUTENSOR_OP_ABS,fp16,kernel,[[1024]],0.006962,0.003423,2.0337
CUTENSOR_OP_ABS,fp16,kernel,[[2048]],0.006096,0.003635,1.6772
CUTENSOR_OP_ABS,fp16,kernel,[[4096]],0.006404,0.004135,1.5488
CUTENSOR_OP_ABS,fp16,kernel,[[8192]],0.006981,0.003788,1.8426
CUTENSOR_OP_ABS,fp16,kernel,[[16384]],0.008096,0.004269,1.8964
CUTENSOR_OP_ABS,fp16,kernel,[[32768]],0.010038,0.005115,1.9624
